"","RT","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","HICOV","HISP","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","WAOB","Class"
"1","P","1",1,"505","1","25","1019518",61,"1","2","2","0","1","2","2","2","2","2","2","0","11","2","3","2","2","1","2",1985,"1","4","3","5","3","3","3","0","0","0","1","18","0","2","0","0",48000,32,"52","1","1","50","999","1","1","1","8191","4","1","0","5730",48000,48000,"25",371,"500","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"2","P","1",1,"201","1","25","1019518",43,"1","1","2","2","2","1","1","1","2","2","2","0","1","2","2","2","2","1","2",1947,"1","4","2","3","2","2","3","0","0","1800","1","16","0","2","0","17000",0,40,"52","2","1","22","999","6","1","1","7860","3","1","0","3255",0,18800,"25",129,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"3","P","1",2,"1301","1","25","1019518",51,"1","6","2","2","2","1","1","2","2","2","2","0","1","2","1","2","2","1","2",1980,"1","4","2","5","2","2","3","0","0","10000","1","21","50000","1","0","45500",0,40,"16","2","2","50","22","6","1","1","7390","1","1","0","710",50000,105500,"36",501,"600","25","1","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"5","P","1",1,"1001","1","25","1019518",89,"1","1","2","2","2","1","1","2","2","2","2","0","1","2","1","2","2","1","2",1978,"1","4","2","5","2","2","3","0","0","50000","1","22","0","1","0","30000",0,40,"52","2","1","84","999","6","1","1","6970","1","1","0","850",0,80000,"25",501,"600","25","1","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"7","P","1",2,"1004","1","25","1019518",35,"4","1","2","2","2","1","2","2","2","2","2","0","1","1","1","2","2","1","2",1980,"1","4","2","5","2","2","3","0","0","2000","1","14","0","1","0","0",40000,40,"52","1","1","84","999","1","1","1","770","1","2","0","6515",40000,42000,"362",359,"300","44","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","3","No"
"8","P","1",1,"803","1","25","1019518",60,"4","1","2","0","2","2","2","1","2","2","2","0","1","1","1","2","2","1","2",1996,"1","4","3","5","3","3","3","0","0","0","1","15","0","2","0","0",12000,40,"40","1","1","706","999","1","1","1","8680","1","2","0","4110",12000,12000,"207",39,"800","25","2","1","3","6","4000","5","0","1","0","0","1","0","0","0","0","4","No"
"10","P","1",1,"706","1","25","1019518",84,"1","1","2","2","2","1","1","2","2","2","2","0","1","2","3","2","2","1","2",1975,"1","4","3","5","3","3","3","0","0","10300","1","15","0","2","0","27500",0,40,"52","1","4","999","999","6","1","1","7860","4","1","0","3255",0,37800,"25",260,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"11","P","1",2,"1003","1","25","1019518",54,"1","1","2","0","2","2","1","2","1","2","2","1500","1","2","1","2","2","2","2",1984,"1","4","2","5","2","2","3","0","0","1500","1","20","0","2","0","11000",0,40,"52","2","1","51","999","6","1","1","7860","1","1","0","3255",0,14000,"25",400,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"13","P","1",1,"605","1","25","1019518",22,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","2","2","2","1","2",1972,"3","4","3","5","3","3","3","0","0","13600","1","16","0","2","0","9600",0,40,"52","1","3","996","999","6","1","1","7860","3","1","0","3255",0,23200,"25",449,"600","25","2","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"15","P","1",2,"505","1","25","1019518",108,"1","1","2","2","1","1","2","2","2","2","2","0","11","2","1","2","2","1","2",1980,"1","4","3","5","3","3","3","0","0","0","1","19","0","2","0","0",45000,40,"52","1","3","996","999","1","1","1","8170","1","1","0","5110",45000,45000,"25",501,"500","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"16","P","1",1,"402","1","25","1019518",16,"5","1","2","2","2","1","2","2","2","2","2","0","1","1","5","2","2","1","2",1994,"2","4","2","5","2","2","3","0","0","0","3","19","0","2","0","0",0,40,"52","2","1","152","999","6","1","1","7860","6","2","0","3255",0,0,"154",449,"600","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","5","No"
"18","P","1",1,"902","1","25","1019518",63,"1","1","2","2","2","1","2","2","2","2","2","0","1","1","1","2","2","1","2",2017,"1","4","3","5","3","3","3","0","0","0","1","21","0","2","0","0",120000,36,"52","1","1","210","999","1","1","2","7580","1","1","0","3255",120000,120000,"48",501,"800","25","1","2","4","9","9000","29","0","0","0","0","2","0","1","1","0","1","No"
