"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"1","505",61,"1","0","2","0","0","0","1","2","2","2",0,0,"11","2","3","1","2","1","3","3","3","1","0","18","2",48000,32,"1","0","1","50","999","0","0","1","8191","0","9999","0","4","1","5730","4",48000,48000,"25","1","500","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2","201",43,"1","0","0","0","0","2","2","1","1","1",0,0,"0","2","2","1","2","1","2","2","2","1","0","16","2",0,0,"2","0","1","22","999","0","0","6","9920","0","9999","0","3","1","9920","4",0,18800,"25","1","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"3","1301",51,"1","0","6","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","21","1",0,40,"2","0","2","50","22","0","0","6","7390","0","9999","0","1","1","710","0",50000,105500,"36","2","0","1","1","2","1","1000","1","0","0","1","0","1","1","2","1",0
"5","1001",89,"1","0","1","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","22","1",0,0,"2","0","1","84","999","0","0","6","6970","0","9999","0","1","1","850","0",0,80000,"25","2","0","1","1","4","1","1000","1","0","0","1","0","1","2","2","1",0
"6","301",82,"1","0","6","0","0","0","1","2","2","2",0,0,"11","2","1","2","2","1","3","3","3","1","0","21","2",0,25,"1","0","1","195","999","0","0","1","8564","0","9999","0","1","1","2850","4",66000,66000,"26","2","290","1","2","4","1","1000","1","0","0","1","0","1","1","2","1",0
"7","1004",35,"4","2","1","1","0","2","2","1","2","2",20,1,"1","1","1","1","2","1","2","2","2","1","0","14","1",40000,40,"1","3","1","84","999","4","1","1","770","63","1210","0","1","2","6515","0",40000,42000,"362","1","300","1","2","4","1","1000","1","0","0","1","0","1","0","0","3",0
"9","1201",53,"1","0","5","0","0","0","1","2","2","2",10,1,"1","2","1","1","2","1","3","3","3","2","15","19","1",47300,60,"1","0","2","32","22","0","1","4","9780","37","9999","0","1","1","7030","0",47300,47640,"19","1","1290","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"10","706",84,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","3","1","2","1","3","3","3","1","0","15","2",0,0,"0","0","4","999","999","0","0","6","9920","0","9999","0","4","1","9920","4",0,37800,"25","1","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"11","1003",54,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","1","2","2","1","2","2","2","1","0","20","2",0,0,"2","0","1","51","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,14000,"25","1","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"13","605",22,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","2","1","2","3","3","3","3","1","0","16","2",0,0,"0","0","3","996","999","0","0","6","9920","0","9999","3","3","1","9920","0",0,23200,"25","0","0","2","1","3","1","1000","1","0","0","1","0","1","0","0","1",1
"14","507",161,"1","0","4","0","0","0","1","2","2","2",10,1,"1","2","1","1","2","1","3","3","3","1","0","16","2",66000,37,"1","0","1","26","999","0","1","1","9480","49","9999","0","1","1","5860","4",66000,66000,"25","1","500","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"15","505",108,"1","0","1","0","0","2","1","1","2","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","19","2",45000,40,"1","0","3","996","999","0","0","1","8170","0","9999","0","1","1","5110","4",45000,45000,"25","2","500","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
