"","X","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"1",1,505,61,1,0,1,2,2,2,2,2,3,1,4,3,5,3,3,0,1,18,2,0,48000,1,50,999,1,4,1,48000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2",2,201,43,1,2,2,1,1,1,2,2,2,1,4,2,3,2,2,1800,1,16,2,17000,0,1,22,999,6,3,1,18800,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3",3,1301,51,1,2,2,1,1,2,2,2,1,1,4,2,5,2,2,10000,1,21,1,45500,0,2,50,22,6,1,1,105500,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"4",5,1001,89,1,2,2,1,1,2,2,2,1,1,4,2,5,2,2,50000,1,22,1,30000,0,1,84,999,6,1,1,80000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"5",6,301,82,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,0,1,195,999,1,1,1,66000,26,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"6",7,1004,35,4,2,2,1,2,2,2,1,1,1,4,2,5,2,2,2000,1,14,1,0,40000,1,84,999,1,1,2,42000,362,1,2,4,1,1000,1,0,0,1,0,1,3,"0"
"7",8,803,60,4,0,2,2,2,1,2,1,1,1,4,3,5,3,3,0,1,15,2,0,12000,1,706,999,1,1,2,12000,207,2,1,3,6,4000,5,1,0,1,0,0,4,"0"
"8",9,1201,53,1,0,1,2,2,2,2,2,1,1,1,3,5,3,3,0,2,19,1,0,47300,2,32,22,4,1,1,47640,19,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"9",10,706,84,1,2,2,1,1,2,2,2,3,1,4,3,5,3,3,10300,1,15,2,27500,0,4,999,999,6,4,1,37800,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"10",11,1003,54,1,0,2,2,1,2,2,2,1,1,4,2,5,2,2,1500,1,20,2,11000,0,1,51,999,6,1,1,14000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"11",13,605,22,1,0,2,2,1,1,2,2,2,3,4,3,5,3,3,13600,1,16,2,9600,0,3,996,999,6,3,1,23200,25,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"12",14,507,161,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,2,0,66000,1,26,999,1,1,1,66000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"13",15,505,108,1,2,1,1,2,2,2,2,1,1,4,3,5,3,3,0,1,19,2,0,45000,3,996,999,1,1,1,45000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"14",16,402,16,5,2,2,1,2,2,2,1,5,2,4,2,5,2,2,0,3,19,2,0,0,1,152,999,6,6,2,0,154,1,2,3,1,1000,1,0,0,1,0,1,5,"0"
