"SPORDER","PUMA","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","JWTRNS","LANX","MAR","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","WAOB","Class"
1,505,61,1,2,2,0,1,2,2,2,2,0,11,2,3,2,1,2,1985,1,4,3,5,3,3,0,1,18,2,0,48000,32,52,1,1,50,999,1,8191,4,1,0,5730,48000,48000,25,371,500,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,201,43,1,NA,2,2,2,1,1,1,2,0,NA,2,2,2,1,2,1947,1,4,2,3,2,2,1800,1,16,2,17000,0,NA,NA,2,1,22,999,6,NA,3,1,0,NA,0,18800,25,129,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,1301,51,1,6,2,2,2,1,1,2,2,0,NA,2,1,2,1,2,1980,1,4,2,5,2,2,10000,1,21,1,45500,0,40,16,2,2,50,22,6,7390,1,1,0,710,50000,105500,36,501,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,1201,537,4,3,2,0,2,2,2,1,2,0,1,1,3,2,1,2,1986,1,4,3,5,3,3,0,1,16,2,0,67000,50,52,NA,4,999,999,1,7071,4,2,0,440,67000,67000,362,501,790,23,2,1,3,3,5015,3,0,0,1,0,0,0,3,"No"
1,1001,89,1,1,2,2,2,1,1,2,2,0,NA,2,1,2,1,2,1978,1,4,2,5,2,2,50000,1,22,1,30000,0,NA,NA,2,1,84,999,6,6970,1,1,0,850,0,80000,25,501,NA,NA,1,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,301,82,1,6,2,0,1,2,2,2,2,0,11,2,1,2,2,2,1998,1,4,3,5,3,3,0,1,21,2,0,0,25,45,1,1,195,999,1,8564,1,1,0,2850,66000,66000,26,501,290,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,1004,35,4,1,2,2,2,1,2,2,2,0,1,1,1,2,1,2,1980,1,4,2,5,2,2,2000,1,14,1,0,40000,40,52,1,1,84,999,1,770,1,2,0,6515,40000,42000,362,359,300,44,1,2,4,1,1000,1,0,0,1,0,1,0,3,"No"
1,803,60,4,1,2,0,2,2,2,1,2,0,1,1,1,2,1,2,1996,1,4,3,5,3,3,0,1,15,2,0,12000,40,40,1,1,706,999,1,8680,1,2,0,4110,12000,12000,207,39,800,25,2,1,3,6,4000,5,1,0,1,0,0,0,4,"No"
2,1201,53,1,5,2,0,1,2,2,2,2,340,1,2,1,2,1,2,2015,1,1,3,5,3,3,0,2,19,1,0,47300,60,52,1,2,32,22,4,9780,1,1,0,7030,47300,47640,19,158,1290,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,706,84,1,NA,2,2,2,1,1,2,2,0,NA,2,3,2,1,2,1975,1,4,3,5,3,3,10300,1,15,2,27500,0,NA,NA,NA,4,999,999,6,NA,4,1,0,NA,0,37800,25,260,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,1003,54,1,NA,2,0,2,2,1,2,2,1500,NA,2,1,2,2,2,1984,1,4,2,5,2,2,1500,1,20,2,11000,0,NA,NA,2,1,51,999,6,NA,1,1,0,NA,0,14000,25,400,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,704,71,1,7,2,0,1,2,2,2,2,0,11,2,1,2,1,2,2000,1,4,3,5,3,3,0,1,22,2,0,280000,45,52,1,2,94,22,1,7390,1,1,0,710,703000,703000,25,501,700,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,605,22,1,NA,2,0,2,2,1,1,2,0,NA,2,2,2,1,2,1972,3,4,3,5,3,3,13600,1,16,2,9600,0,NA,NA,NA,3,996,999,6,NA,3,1,NA,NA,0,23200,25,NA,NA,NA,2,1,3,1,1000,1,0,0,1,0,1,NA,1,"Yes"
2,507,161,1,4,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1990,1,4,3,5,3,3,0,1,16,2,0,66000,37,52,1,1,26,999,1,9480,1,1,0,5860,66000,66000,25,457,500,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,505,108,1,1,2,2,1,1,2,2,2,0,11,2,1,2,1,2,1980,1,4,3,5,3,3,0,1,19,2,0,45000,40,52,1,3,996,999,1,8170,1,1,0,5110,45000,45000,25,501,500,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
