"SPORDER","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
1,505,-0.423402769120447,1,0,1,2,2,2,2,-0.134550377530303,2,3,1,4,3,5,3,3,-0.27456392637561,1,18,2,-0.451796206396106,-0.0163239031697064,1,50,999,1,4,1,-0.198369318389056,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
1,201,-0.660953077185078,1,2,2,1,1,1,2,-0.134550377530303,2,2,1,4,2,3,2,2,-0.157796042082938,1,16,2,1.40356025044411,-0.606111435888042,1,22,999,6,3,1,-0.525388652032721,25,1,1,1,1,1000,1,0,0,1,0,1,1,0
2,1301,-0.555375162489686,1,2,2,1,1,2,2,-0.134550377530303,2,1,1,4,2,5,2,2,0.374146541917009,1,21,1,4.51401078102917,-0.606111435888042,2,50,22,6,1,1,0.44558998587501,36,1,1,2,1,1000,1,0,0,1,0,1,1,0
1,1201,5.85848315525536,4,0,2,2,2,1,2,-0.134550377530303,1,3,1,4,3,5,3,3,-0.27456392637561,1,16,2,-0.451796206396106,0.217133661864635,4,999,999,1,4,2,0.0144172343242874,362,2,1,3,3,5015,3,0,0,1,0,0,3,0
1,1001,-0.0538800676865754,1,2,2,1,1,2,2,-0.134550377530303,2,1,1,4,2,5,2,2,2.96898841508749,1,22,1,2.82236224685133,-0.606111435888042,1,84,999,6,1,1,0.160008033549207,25,1,1,4,1,1000,1,0,0,1,0,1,1,0
2,301,-0.146260743045043,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,21,2,-0.451796206396106,-0.606111435888042,1,195,999,1,1,1,0.00321794207621664,26,1,2,4,1,1000,1,0,0,1,0,1,1,0
2,1004,-0.76653099188047,4,2,2,1,2,2,2,-0.134550377530303,1,1,1,4,2,5,2,2,-0.144821832717086,1,14,1,-0.451796206396106,-0.114621825289429,1,84,999,1,1,2,-0.26556507187748,362,1,2,4,1,1000,1,0,0,1,0,1,3,0
1,803,-0.436600008457371,4,0,2,2,2,1,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,15,2,-0.451796206396106,-0.458664552708458,1,706,999,1,1,2,-0.601543839319602,207,2,1,3,6,4000,5,1,0,1,0,0,4,0
2,1201,-0.528980683815838,1,0,1,2,2,2,2,-0.122453550774208,2,1,1,1,3,5,3,3,-0.27456392637561,2,19,1,-0.451796206396106,-0.0249249713551821,2,32,22,4,1,1,-0.202401063598362,19,1,2,2,1,1000,1,0,0,1,0,1,1,0
1,706,-0.119866264371195,1,2,2,1,1,2,2,-0.134550377530303,2,3,1,4,3,5,3,3,0.393607855965788,1,15,2,2.54951570908071,-0.606111435888042,4,999,999,6,4,1,-0.312602099319377,25,1,1,1,1,1000,1,0,0,1,0,1,1,0
